id,stem,prompt,contentelementtypepropertykey,value,v2
2646,I would rather spend time learning about,"calculating income, assets, and debt",cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Accounting
3122,I would rather spend time learning about,financial reports,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Accounting
3510,I would rather spend time learning about,business standards and ethics,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Accounting
3958,I would rather spend time learning about,corporate investment,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Accounting
4055,I would rather spend time learning about,procedures for paying taxes,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Accounting
4073,I would rather spend time learning about,reviewing business accounts,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Accounting
1292,I want to learn about,African American culture,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,African American Studies
1645,I want to learn about,African American history,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,African American Studies
1860,I want to learn about,"race, social class, and gender",cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,African American Studies
2744,I would rather spend time learning about,African history,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,African American Studies
3127,I would rather spend time learning about,the lives of African American women,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,African American Studies
3516,I would rather spend time learning about,racial issues in the United States,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,African American Studies
4078,I would rather spend time learning about,African American literature,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,African American Studies
4083,I would rather spend time learning about,famous African Americans,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,African American Studies
4088,I would rather spend time learning about,African American experiences,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,African American Studies
2750,I would rather spend time learning about,how people from other cultures think,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Anthropology
3132,I would rather spend time learning about,the role of religion in different societies,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Anthropology
3521,I would rather spend time learning about,the causes of violence,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Anthropology
4093,I would rather spend time learning about,how language and culture are related,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Anthropology
4098,I would rather spend time learning about,chimpanzee behaviour,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Anthropology
2755,I would rather spend time learning about,excavating historical sites,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Archaeology
3137,I would rather spend time learning about,surveying the site of an ancient settlement,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Archaeology
